articleId,articleName,articleCode,cube,weightLbs,roomId,roomName,isActive,domestic,canada,international,local,carton,pbo,mattcp,bulky,crateFlag
996,Fireplace Equip.,V138,8.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1000,Flat Bed Truck,V142,0.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1001,Flat Files,V143,5.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1002,Folding Chair,V144,1.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1003,Folding Table,V145,2.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1004,Footlocker,V146,5.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1005,Footstool,V147,2.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1006,Fork Lift,V148,0.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1008,"Freezer, 10 cf or <",V150,30.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1009,"Freezer, 11 to 15 cf.",V151,45.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1010,"Freezer, 16 cf or >",V152,60.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1014,Futon,V156,35.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1015,Game Table,V157,15.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1016,Garden Hose,V158,10.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1027,Glider,V169,20.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1030,Golf Clubs,V172,5.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1031,Grandfather Clock,V173,30.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1032,Hamper,V174,5.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1033,"Heater, Gas/Electric",V175,5.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1038,Hutch--Large,V182,20.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1039,Hutch--Small,V183,10.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1037,"Hutch, Top",V180,20.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1040,Ironing Board,V184,2.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1048,"Ladder, 3' Step",V192,3.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1049,"Ladder, 8' Metal",V193,2.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1051,"Ladder, Extension",V195,8.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1053,"Lamp, Floor/Pole",V197,3.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1054,Large Table,V198,10.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1056,Lawn Roller,V200,15.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1057,Lawn Spreader,V201,2.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1059,Letter Carton,V203,4.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1062,Luggage,V206,5.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1063,Machine Carts,V207,40.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1064,Magazine Rack,V208,2.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1065,Map Case,V209,20.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1075,Masonite - 6ft,V219,0.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1076,Microwave Oven,V220,5.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1096,Miscellaneous 10 Cu,V240,10.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1097,Miscellaneous 100 Cu,V241,100.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1098,Miscellaneous 15 Cu,V242,15.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1099,Miscellaneous 20 Cu,V243,20.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1100,Miscellaneous 25 Cu,V244,25.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1101,Miscellaneous 5 Cu,V245,5.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1102,Miscellaneous 50 Cu,V246,50.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
